question,A1,A2,A3,A4,correct,explanation
כיצד יש לבצע עיסוי לב בילד?,שתי ידיים בלבד,יד אחת או שתיים בהתאם לגודל הילד,רק שני אגודלים,לחיצות כמו בהיימליך,A2,"בילד (1-8 שנים): יד אחת או שתיים בהתאם לגודל. עומק שליש בית החזה, 100-120 לדקה."
"על פי הנחיות חיל הרפואה, כמה נוזלים צריך לתת לנפגע הלם עם שינוי בהכרה ודופק מעל 100 ?","250 מ""ל לשעה עד לשיפור מצב","500 מ""ל בזרימה רגילה ואז הערכת מצב",ליטר בשעה הראשונה והמשך טיפול לפי לחץ הדם,הזרמת שני ליטר בלחץ והמשך טיפול לפי לחץ הדם,A2,"בעבר היה מקובל להזרים נוזלים רבים. גישה זו השתנתה מהסיבות הבאות: א - זרימת נוזלים מוגברת עלולה לפתוח קרישי דם שנוצרו בגוף כדי לעצור את הדימום ב - כמות נוזלים גבוהה תדלל את גורמי הקרישה ותגביר דימום פנימי ג - כמות נוזלים גבוהה תדלל את הדם ותקטין את ריכוז הכדוריות האדומות ולכן את נשיאת החמצן שלהן ד - החדרת נוזלים קרים עלולה להוביל להיפותרמיה. היפותרמיה עלולה לפגוע במנגנון קרישת הדם. לאור זאת, שינו את ההמלצות. כיום ההמלצה היא החדרת חצי ליטר נוזלים ובדיקת לחץ דם ודופק. אם לחץ הדם עדיין ירוד, הדופק הרדיאלי לא נמוש והדופק בקרוטיד מעל 130, הרי שרמת ההלם לא השתנתה ויש לתת מנה נוספת של 500 מ""ל. בכל מקרה, יש לשאוף לתת אמפולות נוזלים שחוממו (אפשר להוסיף שקיות חימום או לטבול במים חמים)."
מה יכול לגרום לעליית חום הגוף?,תגובה דלקתית על רקע חשיפה לזיהום,יצירת חום על רקע תגובת יתר של המערכת החיסונית,עליית חום על רקע חשיפה לחום חיצוני וקושי בפינוי החום הפנימי,כל התשובות נכונות,A4,"חום גוף יכול לעלות על רקע גורמים פנימיים וחיצוניים. בין הגורמים הפנימיים אנו מונים את מעורבות מערכת החיסון על רקע זיהום (החום מסייע למערכת להתמודד טוב יותר עם המחלה) או על רקע תגובת יתר חיסונית (במצבים בהם מערכת החיסון תוקפת את הגוף עצמו). גורם חיצוני מתייחס למכת חום. במצב זה, החום המועמס על האדם מבחוץ גדול מהחום שהגוף מצליח לפלוט דרך הזעה או דרך העור (הרחבת כלי דם פריפריים )."
פגיעת חזה קהה יכולה להיגרם מ?,רסיס,סכין,הדף,תאונת דרכים,A4,"ניתן לחלק את פגיעות הטראומה לשלוש: א. חודרת: קליע, סכין, רסיס או כל עצם אחר החודר לבית החזה. ב. קהה: תאונת דרכים, חבלה כהה בחזה, נפילה מגובה וכו´. ג. הדף: קריעת נאדיות הריאה תוביל לפגיעת חזה אוויר/דם בלחץ. דוגמא לפגיעה קהה היא תאונת דרכים בה הנפגע חוטף חבטה חזקה מחגורת הבטיחות, דבר שמעביר זעזוע או אפילו שובר כמה צלעות. תופעה זו מתרחשת כאשר האדם מצמיד מקל כבישה לחגורה כדי לשחרר אותה ומשאיר מרווח בין החגורה לחזה."
מה נכון לגבי Syncope ?,ירידה זמנית בזרימת הדם למוח,יש להשכיב את המטופל בחצי ישיבה כדי לאפשר נשימה תקינה,ניתן להזות מים על המטופל אך לא לשפוך עליו מים רבים,אם המטופל התאושש יש לעקוב אחריו עד לחזרתו לשגרה,A1,"סינקופה היא התעלפות (במוזיקה זה עצירה לרגע). במקרה זה לחץ הדם יורד, לרוב בשל התרחבות פתאומית של כלי דם. השכבת המטופל עם רגליים כלפי מעלה מאפשרת החזר דמי למוח וחזרת המטופל להכרה. עם זאת, מכיוון שלא כל אחד מתעלף בגלל שאראלה התקשרה אליו, חייבים להפנות לרופא משום שיש לשלול בעיות נוירולוגיות או לבביות שעלולות היו לגרום להתעלפות."
הפרכוס החמור ביותר הינו:,Grand Mal (גראנד מל),Status Epilepticus (סטטוס אפילפטיקוס),Petit Mal(פטיט מל),post actal (פוסט אקטל),A2,
הפלאורות הם:,דרכי הנשימה העליונות,תאים של מערכת העצבים במוח,נשאים של נוזל הלימפה,קרומי הריאה,A4,
מהי היפוקסיה?,ירידה בריכוז המומסים בדם,ירידה בכמות החמצן ברקמות,דופק איטי במיוחד,הצטברות פחמן דו-חמצני בריאות,A2,היפוקסיה = חוסר חמצן ברקמות. היפוקסמיה = ירידה בחמצן בדם העורקי. שניהם מסוכנים.
"אדון כבן 84, הינך מבחין כי בית החזה אינו עולה בזמן ההנשמה הראשונה. כיצד יש לנהוג:","ביצוע עיסויי חזה עד להגעת הנט""ן.","שיפור קיבוע הראש לאחור, ווידוא אטימה מרבית של המסכה וביצוע ניסיון הנשמה נוסף.",ווידוא אטימה מרבית של המסכה וביצוע נוסף להנשמה.,ביצוע הנשמות ללא AW.,A2,
"הרחקת הסובבים, ריפוד סביבתו, מניעת גירויים חיצוניים והזעקת סיוע רפואי. 9. הגעת לאדם שלדברי הנוכחים עבר לפני מספר דקות אירוע שבו במשך כחמש דקות דיבורו היה מבולבל, ישב כשהוא נוטה לצד שמאל, חוסר סימטריות בולט בפניו וכתם שתן הופיע על מכנסיו. כל הסימנים חלפו לחלוטין לפני הגעתכם וכעט הנפגע מתלונן על כאב ראש חזק בלבד. ממה לדעתכם סובל הנפגע וכיצד יש לפעול בו?","הנפגע סבל ככל הנראה מאירועי מוחי חולף, אם כל הסמנים חלפו לחלוטין אין צורך בבדיקה או טיפול כלל.","הנפגע סבל ככל הנראה מפרכוס, מומלץ לפנותו לבדיקה בהקדם.","הנפגע סבל ככל הנראה מהתעלפות, יש לפנותו בדחיפות לבית חולים.","הנפגע סבל ככל הנראה מאירוע מוחי חולף, חשוב לפנותו בהקדם לבדיקה רפואית.",A4,
יש לכם מיכל חמצן קטן (2.4 ליטר) עם 1500PSI. קצב זרימה 10LPM. לכמה דקות יספיק?,240,2.4,24,360,A3,
מה עושים אם יש ספק לגבי קיום דופק?,נעשה עיסוי בכל מקרה,ננשים ונמשיך לעקוב אחר הדופק,נעשה עיסוי אך על מצע רך,נעשה עיסוי אך נעצור כל 5 עיסויים כדי לבדוק דופק,A1,במידה ויש ספק אם קיים דופק מבצעים החייאה בכל מצב. ההחייאה תבוצע על מצע קשה בלבד במרכז הסטרנום.
מה נכון לגבי עומק הכוויה?,דרגה א היא כוויה הפוגעת בדרמיס אך לא מסכנת את חיי הנפגע,דרגה ב היא כוויה הפוגעת הדרמיס ומלווה בעור חם וצורב,דרגה ג היא כוויה הפוגעת בשכבות עור עמוקות והעור מפויח ושחור,דרגה ד היא כוויה השורפת את כל הרקמה ומגיעה לעצמות,A3,"עומק הכוויה רלבנטי להערכת מצב המטופל: דרגה א´ - כווייה שטחית הפוגעת באפידרמיס. המזכירה שיזוף יתר. העור אדום, חם וצורב. דרגה ב´ - כוויה יותר עמוקה הפוגעת בדרמיס. מופיעות שלפוחיות מלאות נוזל וסביבן סימני כוויה דרגה א´. דרגה ג´ - כוויה הפוגעת גם בשכבות העור העמוקות. העור מפויח ושחור. נפגעו כלי דם ועצבים ולכן, אזור הכוויה פחות כואב במרכזו. מסביב יש סימני כוויות מדרגות נמוכות יותר. הערה: אין דרגה ד´ אך יש כוויות 100%+ שהן כוויות פנימיות, למשל על ידי שאיפת עשן. במקרה זה נראה בעיות נשימה וסימני חריכה בנחיריים."
שכבות הלב מהפנימית לחיצונית:,אנדוקארד מיוקארד אפיקארד פריקארד,אנדוקארד מיוקארד אפיקארד,פריקארד מיוקארד אפיקארד אנדוקארד,מיוקארד אנדוקארד אפיקארד,A1,
מטופל שמתחיל לדמם תוך כדי הטיפול שלך מהאף (אפיסטקסיס),נשלח אותו מידית למוקד או מיון רפואי,נבקש ממנו להטות את ראשו לאחור וללחוץ על האף,נבקש ממנו להטות את ראשו לפנים וללחוץ על האף,נציע לו רטיות קרות לתוך הנחיריים,A3,"דימום שכיח בילדים על רקע חבלה, חיטוט באף או שינויים חדים במזג האויר. במצבים חוזרים יש לפנות לרופא א.א.ג. כדי לוודא שאין בעיות של לחץ דם או של כלי דם. לטיפול, יש להרכין את הראש קדימה וללחוץ (עדיף עם פד או טשיו) על צידי האף, למספר דקות, עד להפסקה מוחלטת של דימום. אין להטות את הראש לאחור. במקרה זה הדימום לא יפסיק אלא יצטבר בדרכי הנשימה. להורדת מצגת מפורטת בנושא הצלת חיים"
"כאשר נפתח דרכי נשימה אצל מטופל עם טראומה, למה חשוב להרים לסת ולא להטות את הראש לאחור?",זהו האופן בו קנה הנשימה נפתח בצורה המיטבית,קיים חשש לשבר בעמוד שדרה צווארי שיחמיר עם הטיית הראש,אין יתרון בשיטה אחת על פני רעותה,שאלה מטעה מכיוון שעדיף להטות את הראש לאחור,A2,"במלחמת לבנון הגיעו 80 פצועי טראומה לבית חולים רמב""ם, מתוכם ל- 20 היו פגיעות בעמוד שדרה צווארי. מדובר ב 25% מכלל הפצועים. מכאן שאם לא ראיתי את הפגיעה במו עיני, וכל עוד אין לי וודאות, אז כל מטופל יהיה חשוד לשבר בעמוד שדרה צווארי. הערה: בנפגעי עשן, חנק, טביעה או התקפי לב ניתן להטות את הראש לאחור ללא חשש. אבל בכל נפגע מחוסר הכרה שלא יכול לדווח לנו על נזק צווארי שנגרם לו, מוטב לנהוג בחשש יתר מאשר ברשלנות."
